,idade,renda,propriedadeCasa,tempoEmpregado,intensao,grau,valor,taxaJuros
0,22,59000,ALUGUEL,123.0,PESSOAL,D,35000,16.02
1,21,9600,PRÓPRIO,5.0,EDUCAÇÃO,B,1000,11.14
2,25,9600,HIPOTECA,1.0,MÉDICO,C,5500,12.87
3,23,65500,ALUGUEL,4.0,MÉDICO,C,35000,15.23
4,24,54400,ALUGUEL,8.0,MÉDICO,C,35000,14.27
5,21,9900,PRÓPRIO,2.0,OUTRO,A,2500,7.14
6,26,77100,ALUGUEL,8.0,EDUCAÇÃO,B,35000,12.42
7,24,78956,ALUGUEL,5.0,MÉDICO,B,35000,11.11
8,24,83000,ALUGUEL,8.0,PERSONAL,A,35000,8.9
9,21,10000,PRÓPRIO,6.0,OUTRO,D,1600,14.74
10,22,85000,ALUGUEL,6.0,OUTRO,B,35000,10.37
11,21,10000,PRÓPRIO,2.0,MELHORIA DE CASA,A,4500,8.63
12,23,95000,ALUGUEL,2.0,OUTRO,A,35000,7.9
13,26,108160,ALUGUEL,4.0,EDUCAÇÃO,E,35000,18.39
14,23,115000,ALUGUEL,2.0,EDUCAÇÃO,A,35000,7.9
15,23,500000,HIPOTECA,7.0,CONSOLIDAÇÃO DE DÍVIDAS,B,30000,10.65
16,23,120000,ALUGUEL,0.0,EDUCAÇÃO,A,35000,7.9
17,23,92111,ALUGUEL,7.0,MÉDICO,F,35000,20.25
18,23,113000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,D,35000,18.25
19,24,10800,HIPOTECA,8.0,EDUCAÇÃO,B,1750,10.99
20,25,162500,ALUGUEL,2.0,OUTRO,A,35000,7.49
21,25,137000,ALUGUEL,9.0,PERSONAL,E,34800,16.77
22,22,65000,ALUGUEL,4.0,EDUCAÇÃO,D,34000,17.58
23,24,10980,PRÓPRIO,0.0,PERSONAL,A,1500,7.29
24,22,80000,ALUGUEL,3.0,PERSONAL,D,33950,14.54
25,24,67746,ALUGUEL,8.0,MELHORIA DE CASA,C,33000,12.68
26,21,11000,HIPOTECA,3.0,OUTRO,E,4575,17.74
27,23,11000,PRÓPRIO,0.0,PERSONAL,A,1400,9.32
28,24,65000,ALUGUEL,6.0,MELHORIA DE CASA,B,32500,9.99
29,21,11389,OUTROS,5.0,EDUCAÇÃO,C,4000,12.84
30,21,11520,PRÓPRIO,5.0,MÉDICO,B,2000,11.12
31,25,120000,ALUGUEL,2.0,OUTRO,A,32000,6.62
32,26,95000,ALUGUEL,7.0,MELHORIA DE CASA,C,31050,14.17
33,25,306000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,24250,13.85
34,26,300000,HIPOTECA,10.0,MÉDICO,C,7800,13.49
35,21,12000,PRÓPRIO,5.0,EDUCAÇÃO,A,2500,7.51
36,22,48000,ALUGUEL,1.0,EDUCAÇÃO,E,30000,18.39
37,24,64000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,14.54
38,25,75000,ALUGUEL,4.0,MELHORIA DE CASA,D,30000,16.89
