idade,renda,propriedadeCasa,tempoEmprego,intensao,grau,valor,juros
22,59000,0,123,4,3,35000,16
21,9600,3,5,1,1,1000,11
25,9600,1,1,2,2,5500,12
23,65500,0,4,2,2,35000,15
24,54400,0,8,2,2,35000,14
21,9900,3,2,3,0,2500,7
26,77100,0,8,1,1,35000,12
24,78956,0,5,2,1,35000,11
24,83000,0,8,4,0,35000,8
21,10000,3,6,3,3,1600,14
22,85000,0,6,3,1,35000,10
21,10000,3,2,5,0,4500,8
23,95000,0,2,3,0,35000,7
26,108160,0,4,1,4,35000,18
23,115000,0,2,1,0,35000,7
23,500000,1,7,0,1,30000,10
23,120000,0,0,1,0,35000,7
23,92111,0,7,2,5,35000,20
23,113000,0,8,0,3,35000,18
24,10800,1,8,1,1,1750,10
25,162500,0,2,3,0,35000,7
25,137000,0,9,4,4,34800,16
22,65000,0,4,1,3,34000,17
24,10980,3,0,4,0,1500,7
22,80000,0,3,4,3,33950,14
24,67746,0,8,5,2,33000,12
21,11000,1,3,3,4,4575,17
23,11000,3,0,4,0,1400,9
24,65000,0,6,5,1,32500,9
21,11389,2,5,1,2,4000,12
21,11520,3,5,2,1,2000,11
25,120000,0,2,3,0,32000,6
26,95000,0,7,5,2,31050,14
25,306000,0,2,0,2,24250,13
26,300000,1,10,2,2,7800,13
21,12000,3,5,1,0,2500,7
22,48000,0,1,1,4,30000,18
24,64000,0,8,0,3,30000,14
25,75000,0,4,5,3,30000,16
23,71500,0,3,0,3,30000,11
26,62050,0,6,2,4,30000,17
24,12000,3,4,3,1,2500,12
26,300000,1,10,3,0,20000,7
23,300000,3,1,1,5,24250,19
26,300000,3,9,5,1,10000,10
26,300000,1,0,1,3,25000,15
25,300000,1,9,5,4,18000,16
26,80690,0,8,4,0,30000,7
22,66300,0,4,2,1,30000,12
26,89028,0,0,0,0,30000,6
24,78000,0,4,0,3,30000,11
23,78000,0,7,0,5,30000,18
23,92004,0,6,4,2,30000,15
23,97000,0,7,3,1,30000,10
25,120000,0,9,1,0,30000,7
26,280000,0,4,4,2,10000,15
26,277104,0,0,3,1,20000,11
23,277000,3,3,4,0,35000,11
25,128000,0,9,4,0,30000,7
24,12000,3,2,3,4,1750,11
21,131000,0,0,3,0,30000,5
22,275000,3,6,3,1,12000,11
26,263000,1,0,1,1,10000,11
25,221850,1,9,2,3,25000,15
22,70000,0,6,1,3,29100,15
22,12000,1,7,1,3,1500,14
26,260000,3,10,5,1,28000,10
25,259000,1,9,5,3,20000,14
24,255000,1,9,1,0,9600,6
25,250000,0,2,2,2,25000,13
25,12000,3,0,2,2,3000,11
22,56950,0,6,2,0,28000,11
21,12000,3,6,1,2,3000,13
23,65000,0,2,1,0,28000,7
26,85000,0,2,3,0,28000,7
26,12000,3,2,1,0,6100,7
22,88000,0,6,3,1,28000,9
21,12000,3,0,4,2,4200,13
22,12000,3,6,0,0,4750,7
24,83004,0,0,3,3,28000,15
24,250000,0,2,1,2,18000,12
144,250000,0,4,3,2,4800,13
25,100000,0,5,0,1,28000,12
26,110000,0,10,1,0,28000,8
26,12000,3,0,0,0,2700,11
22,108000,0,6,1,1,28000,11
23,151200,0,7,0,1,28000,11
